"Variable","Importance"
"v263_edulvlb",9.37463882558138
"v263_edulvlb_2",10.887974417267
"v263_edulvlb_1",8.09097966350443
"v263_ISCED_3",12.016003022759
"v263_ISCED_2",9.41174915735417
"v263_ISCED_2b",8.19474494403207
"v263_ISCED_1",9.21554628225563
"v263_EISCED",9.32703990744526
"v263_ISCED97",8.90058887859499
"v263_8cat",9.83733358592003
"v263_r",5.64301679141082
"v263_cs",21.8034524010694
"v263_cs_DE1",0.240655292907007
"v263_cs_DE2",-0.216972202758403
"v263_cs_DE3",-0.838907954194985
"v263_cs_GB1",-0.678172215012296
"v263_cs_GB2",-0.611477908608052
"v264",4.00173143348245
"v265",3.99795472761984
"v266",7.34331351727125
"v267",4.63603371286556
"v268",4.78257037513149
"v269",6.74612516552008
"v270",4.03555955333735
"v271",4.03655363255344
"v272",5.05304844725645
"v273",8.0352886186223
"v274",4.15553828863914
"v275b_N2",22.9487487668926
"v275b_N1",18.6447475850861
"v275c_N2",23.7253479914832
"v275c_N1",20.5269813857301
"v276_r",7.01965337592494
"v277",25.0882488629419
"v278a",7.20946730552481
"v278b",4.09881040913716
"v278c_r",8.05012876704377
"v279a",5.80766863213546
"v279b",2.83441530761496
"v279c_r",11.2486010440305
"v279d_r",11.3170849706732
"v280",9.38622989644725
"v281a",17.9954250597877
"v281a_r",22.8599467246055
"v282",20.9445326393439
