"Variable","Importance"
"id",-0.0606398254381326
"year",8.8799066342678
"fw_start",15.4999639051224
"fw_end",14.8007517185566
"country",19.5790760246857
"c_abrv",15.0812846843581
"v1",11.7278825958372
"v2",14.0915412385636
"v3",16.8498472950689
"v4",15.6187400579985
"v5",45.3827780907119
"v7",6.19059303916191
"v8",4.16418664929511
"v9",15.3918230813607
"v10",3.27447493787769
"v11",4.87787295358395
"v12",2.97069090991501
"v13",-0.136413719616552
"v14",1.53291464445184
"v15",3.86968728411134
"v16",5.07501196919316
"v17",1.36593283116504
"v18",3.5816511293997
"v19",2.72706917339285
"f20",6.08061890609975
"v20",9.7761388674055
"v20a",8.15516213676845
"v20b",10.6660059199928
"v21",5.15083346035197
"v22",5.94074576406067
"v23",2.46174819413678
"v24",5.4589767320327
"f24_IT",2.83082286384205
"v24a_IT",-1.92975058113557
"v24b_IT",-3.08454894703662
"v25",3.92551611239228
"v26",6.45753383139569
"v27",12.9281496380149
"v28",9.97656087754128
"v29",4.35874495614221
"v30",3.89196336754474
"f30a",7.27920804918474
"v30a",8.15918516829408
"v30b",7.75123663160996
"v30c",8.77318982389992
"v31",5.85655255674964
"v32",2.158876459921
"v33",4.44240836913925
"v34",6.24867924981372
"v35",5.89731455406738
"v36",8.5743272357471
"v37",7.64725335344861
"v38",8.88559977178342
"v39",7.64820264762695
"v40",3.93646048317762
"v41",3.28041411364184
"v42",2.89111886804569
"v43",3.4896723056559
"v44",2.58171648290885
"v45",4.65988580993625
"f45a",4.26416007117721
"v45a",6.63729240185497
"v45b",5.84674295012901
"v45c",8.59966159662637
"v46",4.71232396250548
"f46_IT",2.03986669468562
"v47",8.71064353005189
"v48",8.62488122687722
"v49",8.96212551877523
"v50",9.33370006472594
"v51",15.6194292369889
"v52",19.2902913109043
"v52_cs",22.2505763376046
"v53",16.928848034013
"v54",31.139510150196
"v55",16.8357335056103
"v56",26.1756612455341
"v57",20.2300252753474
"v58",13.9974217811584
"v59",14.3409250054808
"v60",19.636867954199
"v61",7.71948203324605
"v62",23.0043178930513
"v63",43.5852802070859
"v64",34.5817536554253
"v65",6.14223572078966
"v66",6.79259146635776
"v67",6.32667790542915
"v68",8.50213962764201
"v69",8.17290610299094
"v70",6.75757884911529
"v71",7.98856131827275
"v72",6.62324670395736
"v72_DE",0
"v73",9.13698209584542
"v73_DE",0
"v74",9.86385898624502
"v74_DE",0
"v75",9.65152538976185
"v75_DE",0
"v76",8.8903903507136
"v76_DE",0
"v77",7.45081428305803
"v77_DE",0
"v78",9.64272659968097
"v78_DE",0
"v79",8.38057312000824
"v79_DE",0
"v80",7.68066136567988
"v81",10.9398612446476
"v82",12.347910614198
"v83",9.09024116630256
"v84",10.7860585110148
"f85",0.0245055521100636
"v85",3.15111313045974
"v86",5.61772893792695
"v87",5.51122553200452
"v88",2.85942176331037
"v89",4.89504458382456
"v90",3.70905211572146
"v91",5.00677059837551
"v92",3.86790305548924
"v93",24.7465119256622
"v94",3.29924855068587
"v95",4.26160271481396
"f96",6.44334811961458
"v96",4.51408514699145
"v96a",6.7900377565147
"v96b",9.95394080020577
"v97",12.2144863407998
"v98",10.2510127206028
"v99",5.55289473547997
"v100",6.29824708564652
"v101",6.22953756350246
"v102",8.36284187903299
"v103",7.28073475559614
"v104",7.79249887488764
"v105",7.91010496063924
"v106",11.0622547402645
"v107",6.91396461768771
"f108",-0.528120780041593
"v108",3.47727502213166
"v109",3.45357865231904
"f110",-0.792548088875675
"v110",4.08357105225687
"v111",2.49751771348833
"v111_4",5.87722914292928
"v112",5.93292183523294
"f112_SE",0
"v113",5.82407116094728
"v114",4.31710254514917
"v115",35.0929407784522
"v116",7.31662713962937
"v117",5.7928148612754
"v118",7.10376673467735
"v119",5.40716202243177
"v120",6.46483952547953
"v121",8.24626216836995
"v122",6.59796426032853
"v123",4.80855970002355
"v124",8.56781102586424
"v125",6.29905579157822
"v126",6.9002875159678
"v127",9.62593383277141
"v128",8.88590377110376
"v129",7.25625761156072
"v130",8.43966890525333
"v131",10.1211552154161
"v132",7.66729816837829
"v133",10.0131910815696
"v133_11c",0.967801049276816
"v134",16.6342186909711
"v134_11c",2.65064643021313
"v135",10.4382418589079
"v135_11c",4.8587393959114
"v136",8.5479957192846
"v136_11c",3.82735048401163
"v137",11.3187233461777
"v137_11c",1.47892242184297
"v138",10.2988530654286
"v138_11c",3.37860966281729
"v139",10.3226475551929
"v139_11c",3.88294316293513
